1,Teodoro,Le Lamentin,10000
2,Delmor,Berendeyevo,10500
3,Hartwell,Karabudakhkent,11000
4,Tades,Tomarovka,11500
5,Franky,Coquitlam,12000
6,Abagail,Ciemas,12500
7,Daffi,Khanabad,13000
8,Aland,Kefar Shemaryahu,13500
9,Latisha,Xibin,14000
10,Ynes,Bayamo,14500
11,Vince,Jaen,15000
12,Neil,Huata,15500
13,Blondie,Zhutuo,16000
14,Marty,Odessa,16500
15,Phylis,Heliconia,17000
16,Granny,Turmus‘ayyā,17500
17,Celene,Shanjie,18000
18,Rozele,Nor Yerznka,18500
19,Wendye,Aguisan,19000
20,Lorenza,Mahikeng,19500
21,Hamid,Nizhniy Ufaley,20000
22,Munmro,Gävle,20500
23,Margarette,Lazaro Cardenas,21000
24,Lonny,Qingchuan,21500
25,Niels,Sioguí Abajo,22000
26,Vannie,Heping,22500
27,Chariot,Santa Quitéria do Maranhão,23000
28,Olivero,Dafundo,23500
29,Claiborne,Borzoy,24000
30,Vidovik,Abuochiche,24500
31,Alexis,Dongdai,25000
32,Erda,Feričanci,25500
33,Jamima,Radenka,26000
34,Charlean,Mangdang,26500
35,Mari,Banjar Teguan,27000
36,Leanor,‘Ayn al ‘Arab,27500
37,Fleming,Bukitkemuning,28000
38,Shurlock,Santa Cruz,28500
39,Merna,Río Grande,29000
40,Phillip,Tāklisah,29500
41,Clareta,Xujiaqiao,30000
42,Jedd,Guaíba,30500
43,Morie,Turi,31000
44,Wini,Kirovohrad,31500
45,Kennith,Dobrica,32000
46,Dannie,Vila,32500
47,Deny,Serang,33000
48,Benni,Fontenay-sous-Bois,33500
49,Arluene,Lujing Zhen,34000
50,Ingra,Bajos de Haina,34500
51,Gherardo,Paccha,35000
52,Judon,Changcun,35500
53,Eadmund,Mulhouse,36000
54,Alasteir,Capela,36500
55,Gwen,Padangcermin,37000
56,Katy,Nan’ao,37500
57,Saidee,Pasarkuok,38000
58,Rolland,Chashan,38500
59,Camala,Hollola,39000
60,Xever,Tabuc Pontevedra,39500
61,Clint,Carumas,40000
62,Willetta,Independencia,40500
63,Amye,Falefa,41000
64,Vinny,Trzin,41500
65,Reynold,Yongle,42000
66,Boyce,Plaza de Caisán,42500
67,Sherill,Rancharia,43000
68,Korney,Pingyao,43500
69,Catie,Vizal San Pablo,44000
70,Annabell,Bayanbulag,44500
71,Rowena,Najrān,45000
72,Adela,Caleufú,45500
73,Conni,Brzeg Dolny,46000
74,Hewitt,Pemzashen,46500
75,Lynnett,Turnišče,47000
76,Thain,Jiuzhou,47500
77,Wiatt,Macamic,48000
78,Thea,Wanfang,48500
79,Joela,Xinjiezi,49000
80,Emory,Lerrnanist,49500
81,Ryun,Jiezi,50000
82,Coop,Guaymango,50500
83,Pip,Ciherang,51000
84,Shelley,Lawa-an,51500
85,Cristiano,Mushu,52000
86,Cherrita,Shizi,52500
87,Carmelia,Houmt Souk,53000
88,Kent,Jinhe,53500
89,Thorn,Nesovice,54000
90,Karoly,Yangyuan,54500
91,Amara,Snegiri,55000
92,Feodor,Kuanghe,55500
93,Margit,Karaundi,56000
94,Elinore,Zhagang,56500
95,Caleb,Yanagawamachi-saiwaichō,57000
96,Gil,Benavila,57500
97,Yorgo,Ban Talat Bueng,58000
98,Gannon,Banghai,58500
99,Tomlin,Ostružnica,59000
100,Corly,Santa Fe,59500
101,Tamar,Sandefjord,60000
102,Gavrielle,Novo,60500
103,Margareta,Bautista,61000
104,Nike,Huangtukuang,61500
105,Eleni,Xujiafang,62000
106,Yank,Mahe,62500
107,Rubina,Marzhing,63000
108,Shantee,Telengsari,63500
109,Shantee,Landvetter,64000
110,Arthur,Labin,64500
111,Odelia,Mutang,65000
112,Sonnnie,Yuta,65500
113,Daphene,Bantar,66000
114,Celestina,Bal Chirāgh,66500
115,Ricki,Şirrīn ash Shamālīyah,67000
116,Jarad,Växjö,67500
117,Milzie,Porosozero,68000
118,Mathias,Jabinyānah,68500
119,Lillian,La Esperanza,69000
120,Christabella,Coihaique,69500
121,Clara,Lijiang,70000
122,Adamo,Mörrum,70500
123,Kirstin,Magan,71000
124,Angelika,København,71500
125,Missie,Tuxi,72000
